RESPNUM,CCGID,RUNID,INTDATE,DAY,GATE,BAREA,STRATA,PEAK,METH,SAQ,AIRLINE,DESTINATION,FLIGHT,AIRLINE_CODE,DEST_CODE,DESTGEO,DESTMARK,ARRTIME,DEPTIME,HOWLONG,Q2PURP1,Q2PURP2,Q2PURP3,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3PARK,Q4BAGS,Q4STORE,Q4FOOD,Q4WIFI,Q5TIMESFLOWN,Q5FIRSTTIME,Q6LONGUSE,Q7ART,Q7FOOD,Q7STORE,Q7SIGN,Q7WALKWAY,Q7SCREENS,Q7INFODOWN,Q7INFOUP,Q7WIFI,Q7ROADS,Q7PARK,Q7AIRTRAIN,Q7LTPARKING,Q7RENTAL,Q7ALL,Q8-1,Q8-2,Q8-3,Q8-4,Q8-5,Q8-6,Q9Boarding,Q9AirTrain,Q9Rental,Q9Food,Q9Restroom,Q9All,Q9-1,Q9-2,Q9-3,Q10Safe,Q10-1,Q10-2,Q10-3,Q11TSAPRE,Q12PRECHECKRATE,Q12-1,Q12-2,Q12-3,Q13COUNTY,Q13GETRATE,Q14FIND ,Q14PASSTHRU,Q15PROBLEM,Q15A,Q15-1,Q15-2,Q15-3,NETPRO  ,Q17LIVE,Q18CITY,Q18COUNTY,Q18STATE,Q18ZIP,Q18COUNTRY,HOME,Q19Clear,Q20Age,Q21Gender,Q22Income,Q23FLY,Q24SJC,Q24OAK,LANG,WEIGHT
2492,1000,906,11,6,81,F,2,2,1,2,UNITED,DENVER,720,30,14,1,4,0.614583333,0.653472222,56,2,,,5,,,,2,2,2,2,5,1,4,4,4,4,4,4,3,6,6,4,3,3,6,6,6,4,0,,,,,,3,6,6,4,4,4,0,,,5,3,,,1,4,4,,,7,5,5,4,2,,,,,10,1,LOS ALTOS,SANTA CLARA COUNTY,CA,94022,US,7,2,3,2,4,1,1,2,1,1.486924802
1931,1837,196,19,7,3,A,2,3,1,2,AIR FRANCE/KLM,PARIS-DE GAULLE,83,5,47,6,4,0.534722222,0.628472222,135,2,,,5,,,,1,1,1,2,1,1,4,3,4,4,4,4,4,4,4,4,6,6,6,6,6,4,0,,,,,,5,6,6,5,6,4,0,,,5,2,1,,1,4,7,,,5,5,4,4,2,,,,,10,3,PARIS,,,,FRANCE,15,2,6,1,3,2,2,2,1,0.286357486
496,2427,547,20,1,54,D,3,2,1,2,ALASKA,PORTLAND,1811,7,50,1,2,0.729166667,0.831944444,148,2,,,2,,,,2,2,2,2,3,1,4,5,4,6,5,5,5,6,6,6,5,5,6,6,5,5,0,,,,,,5,6,5,5,5,5,0,,,5,4,1,,1,5,21,,,6,5,5,5,2,,,,,10,3,PORTLAND,MULTNOMAH COUNTY,OR,97212,US,10,2,5,1,4,2,1,1,1,1.10633221
951,171,45,3,5,102,G,1,3,1,2,AIR CANADA,VANCOUVER,8839,3,71,4,2,0.322916667,0.40625,120,2,,,2,,,,2,2,1,2,2,1,4,5,5,5,5,5,5,5,5,4,4,4,6,5,6,5,991,,,,,,5,6,6,5,5,5,0,,,5,0,,,1,5,21,,,6,5,5,5,2,,,,,10,1,BURLINGAME,SAN MATEO COUNTY,CA,94010,US,6,2,5,2,4,2,2,2,1,0.346120232
720,2361,638,30,4,6,A,2,3,1,2,CATHAY PACIFIC,HONG KONG,879,12,23,8,4,0.40625,0.545138889,200,2,,,5,,,,1,1,1,1,1,2,1,6,2,2,4,4,4,6,6,5,4,4,6,6,6,4,102,,,,,,4,6,6,3,6,4,0,,,5,1,,,1,3,0,,,5,5,5,5,2,,,,,10,3,PERTH,,,,AUSTRALIA,19,2,7,2,0,2,2,2,1,0.319164822
1945,621,622,29,3,80,F,1,1,1,2,UNITED,BOSTON,768,30,8,2,3,0.25,0.350694444,145,2,,,7,,,,1,1,1,2,2,1,4,5,5,5,4,4,4,4,4,6,4,4,4,4,1,4,17,,,,,,4,4,3,4,4,4,0,,,5,1,2,,1,5,0,,,5,5,5,5,2,,,,,10,3,WOODSTOCK,WINDSOR COUNTY,VT,5091,US,12,2,6,2,0,2,2,0,1,1.486924802
410,2637,75,6,1,70,F,2,2,1,2,UNITED,HOUSTON-BUSH,1615,30,25,3,4,0.291666667,0.543055556,362,2,,,13,,,,1,0,1,0,1,2,1,6,5,6,5,5,5,5,5,6,6,6,6,6,6,5,0,,,,,,5,5,6,5,5,5,0,,,5,2,,,1,5,0,,,5,5,5,5,2,,,,,10,3,BONITA SPRINGS,LEE COUNTY,FL,34135,US,12,2,7,2,2,2,2,2,1,1.486924802
638,1525,517,15,3,50,D,3,2,1,2,ALASKA,"WASHINGTON,DC-DULLES",1090,7,72,2,2,0.78125,0.878472222,140,2,,,6,,,,2,2,2,1,4,1,4,5,4,3,4,4,4,6,6,3,3,3,3,3,3,4,0,,,,,,3,3,3,3,3,3,0,,,5,0,,,1,4,0,,,5,5,5,3,2,,,,,10,1,SAN FRANCISCO,SAN FRANCISCO COUNTY,CA,94103,US,5,2,3,2,4,2,2,2,1,1.10633221
197,2250,610,23,4,45,D,3,2,1,2,AMERICAN,LOS ANGELES,6026,8,34,1,4,0.708333333,0.798611111,130,2,,,2,,,,1,2,2,2,1,1,2,4,4,5,5,4,5,4,4,5,5,5,6,6,6,5,0,,,,,,5,6,4,0,4,4,0,,,4,0,,,1,5,0,,,5,5,5,5,2,,,,,10,2,,,,,US,91,2,4,1,3,3,2,1,1,1.061139364
2606,936,157,15,3,11,A,1,2,1,2,JETBLUE,BOSTON,434,22,8,2,3,0.260416667,0.33125,102,2,,,5,,,,1,2,1,1,3,1,4,4,4,4,4,4,4,6,6,0,0,0,0,0,0,0,0,,,,,,4,4,4,4,4,4,0,,,4,0,,,1,3,0,,,5,5,5,5,2,,,,,10,1,SAN FRANCISCO,SAN FRANCISCO COUNTY,CA,94123,US,5,2,7,1,4,2,2,2,1,0.670484223
2727,1203,102,11,6,68,E,2,1,1,2,UNITED,KAHULUI,1273,30,28,1,1,0.395833333,0.459722222,92,2,,,2,,,,1,0,0,1,3,1,4,5,6,4,5,4,5,6,6,5,5,6,6,6,6,4,0,,,,,,5,6,6,6,4,4,0,,,4,0,,,1,5,0,,,6,5,5,5,2,,,,,10,1,,,,,US,90,2,7,2,0,2,2,1,1,1.486924802
2866,1637,635,30,4,73,F,1,1,1,2,UNITED,"WASHINGTON,DC-DULLES",516,30,72,2,2,0.347222222,0.407638889,87,2,,,5,,,,1,2,1,1,4,1,4,4,3,4,5,4,4,4,4,5,4,6,6,6,6,4,0,,,,,,4,6,6,4,3,4,0,,,5,0,,,1,5,0,,,5,5,5,5,2,,,,,10,1,SAN FRANCISCO,SAN FRANCISCO COUNTY,CA,94114,US,5,2,3,2,4,2,2,2,1,1.486924802
373,2599,64,4,6,54,D,2,3,1,2,ALASKA,SAN JOSE DEL CABO,1276,7,58,4,1,0.375,0.46875,135,2,,,2,,,,1,1,2,1,6,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,,,,,,5,5,5,5,5,5,0,,,5,0,,,1,5,0,,,25,5,5,5,2,,,,,10,2,TRACY,SAN JOAQUIN COUNTY,CA,95376,US,10,2,3,2,3,2,2,2,1,1.10633221
574,2413,644,31,5,54,D,1,2,1,2,ALASKA,SEATTLE,313,7,62,1,4,0.25,0.302083333,75,2,,,6,,,,1,2,1,2,1,1,2,5,5,5,5,5,5,6,5,5,6,6,5,6,6,5,0,,,,,,5,5,6,5,5,5,0,,,5,0,,,1,5,0,,,2,5,5,5,2,,,,,10,1,ANTIOCH,CONTRA COSTA COUNTY,CA,94509,US,2,2,5,2,3,2,3,1,1,1.10633221
630,2398,645,31,5,50,D,1,2,1,2,ALASKA,NEWARK,1174,7,43,2,4,0.267361111,0.326388889,85,2,,,5,,,,2,1,2,1,3,1,4,4,6,4,5,0,5,6,6,5,5,5,5,5,5,5,0,,,,,,5,5,5,5,5,5,0,,,3,0,,,1,5,0,,,7,5,5,5,2,,,,,10,1,CUPERTINO,SANTA CLARA COUNTY,CA,95014,US,7,2,4,1,3,2,1,2,1,1.10633221
1150,1480,520,15,3,24,B,3,2,1,2,SOUTHWEST,SAN DIEGO,5688,28,57,1,2,0.694444444,0.729166667,50,2,,,5,,,,2,2,2,2,1,1,3,6,6,6,5,6,5,6,6,6,6,6,6,6,6,5,0,,,,,,5,6,6,6,6,5,0,,,5,0,,,1,5,0,,,5,5,3,5,2,,,,,10,3,SAN DIEGO,SAN DIEGO COUNTY,CA,92103,US,10,2,4,1,2,2,2,2,1,0.994274752
1172,1275,93,10,5,40,C,1,1,1,2,DELTA,NEW YORK-JFK,407,16,42,2,4,0.291666667,0.354166667,90,2,,,6,,,,0,0,1,0,3,1,2,5,4,5,5,5,5,6,6,6,5,4,5,5,6,5,0,,,,,,5,5,6,5,5,5,0,,,5,0,,,1,5,0,,,1,5,5,5,2,,,,,10,1,PLEASANTON,ALAMEDA COUNTY,CA,94566,US,1,2,6,2,4,2,1,0,1,1.178946078
1232,1408,525,15,3,28,B,3,2,1,2,SOUTHWEST,LAS VEGAS,1201,28,31,1,4,0.833333333,0.90625,105,2,,,2,,,,1,2,2,1,2,1,4,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,0,,,,,,5,5,6,6,5,5,0,,,5,0,,,1,5,0,,,5,5,4,5,2,,,,,10,1,SAN FRANCISCO,SAN FRANCISCO COUNTY,CA,94112,US,5,2,3,1,1,2,2,2,1,0.994274752
1260,151,49,3,5,7,A,2,3,1,2,CHINA EASTERN,SHANGHAI,590,13,64,8,4,0.3125,0.5,270,2,,,2,,,,0,0,0,1,3,1,4,4,3,3,4,4,3,4,3,5,4,4,3,6,5,4,1,,,,,,5,6,5,4,5,5,0,,,4,0,,,1,5,0,,,7,5,5,5,2,,,,,10,1,SAN JOSE,SANTA CLARA COUNTY,CA,95127,US,7,2,5,1,2,1,1,2,1,0.670484223
1401,51,84,8,3,91,G,2,3,1,2,UNITED INTL,PARIS-DE GAULLE,990,31,47,6,4,0.53125,0.614583333,120,2,,,5,,,,1,2,2,2,3,1,4,5,5,5,5,5,5,6,6,6,4,6,6,6,6,5,0,,,,,,5,6,6,5,5,5,0,,,5,0,,,1,5,0,,,6,5,5,5,2,,,,,10,1,REDWOOD CITY,SAN MATEO COUNTY,CA,94061,US,6,2,7,2,4,1,1,2,1,1.486924802
1444,425,636,30,4,60,E,1,1,1,2,UNITED,LAS VEGAS,358,30,31,1,4,0.354166667,0.452777778,142,2,,,5,,,,2,2,1,2,4,1,2,5,5,5,5,5,5,5,5,4,5,5,6,6,6,0,0,,,,,,5,6,6,4,5,5,0,,,5,0,,,1,5,0,,,1,5,5,5,2,,,,,10,1,UNION CITY,ALAMEDA COUNTY,CA,94587,US,1,2,4,1,0,2,2,1,1,1.486924802
1703,1982,206,20,1,6,A,3,3,1,2,AIR FRANCE/KLM,PARIS-DE GAULLE,85,5,47,6,4,0.75,0.854166667,150,2,,,6,,,,0,0,0,0,3,1,4,5,4,6,5,5,5,5,5,5,5,5,5,6,6,5,0,,,,,,5,5,5,5,5,5,0,,,5,0,,,1,5,0,,,2,5,5,5,2,,,,,10,1,RICHMOND,CONTRA COSTA COUNTY,CA,94804,US,2,2,6,1,1,2,2,1,1,0.286357486
1767,2098,171,17,5,58,D,1,1,1,2,AMERICAN,CHICAGO-O'HARE,2594,8,12,3,4,0.336805556,0.392361111,80,2,,,6,,,,2,2,2,2,2,1,4,3,6,6,5,5,5,6,6,6,5,6,5,6,6,5,0,,,,,,5,5,6,6,5,5,0,,,5,0,,,1,4,0,,,1,5,5,5,2,,,,,10,1,ALAMEDA,ALAMEDA COUNTY,CA,94501,US,1,2,6,1,3,2,2,1,1,1.061139364
1780,2764,66,5,7,88,F,1,1,1,2,UNITED,RALEIGH-DURHAM,1445,30,53,2,2,0.270833333,0.395833333,180,2,,,5,,,,1,0,1,1,1,2,1,4,4,4,3,4,4,6,6,4,6,6,6,6,6,4,0,,,,,,5,6,6,5,5,5,0,,,5,0,,,1,1,0,,,5,5,4,5,2,,,,,10,3,BURLINGTON,ALAMANCE COUNTY,NC,27215,US,12,2,7,2,2,2,2,2,1,1.486924802
2019,1650,634,30,4,81,F,1,1,1,2,UNITED,NEWARK,414,30,43,2,4,0.25,0.375,180,2,,,9,,,,1,0,1,1,4,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,,,,,,5,5,5,5,5,5,0,,,5,0,,,1,5,0,,,18,5,5,5,2,,,,,10,2,MONTEREY,MONTEREY COUNTY,CA,93940,US,10,2,4,2,2,1,1,2,1,1.486924802
2054,1225,98,11,6,85,F,1,2,1,2,UNITED,NEWARK,577,30,43,2,4,0.208333333,0.3125,150,2,,,2,,,,1,2,2,1,1,2,1,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,51,,,,,,5,5,5,5,5,5,0,,,5,0,,,1,5,0,,,5,5,5,5,2,,,,,10,3,COIMBATORE,,,,INDIA,16,2,5,1,2,2,2,2,1,1.486924802
2125,1718,557,21,2,98,G,3,3,1,2,UNITED INTL,MEXICO CITY,412,31,36,4,4,0.708333333,0.965277778,370,2,,,2,,,,1,2,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,,5,5,5,5,5,5,0,,,5,0,,,1,5,0,,,28,5,5,5,2,,,,,10,3,PUEBLA,,,,MEXICO,13,2,4,2,0,3,3,0,2,1.486924802
2583,1142,121,12,7,1,A,2,2,1,2,JETBLUE,LONG BEACH,2135,22,33,1,1,0.541666667,0.627083333,123,2,,,5,,,,2,2,2,1,2,1,2,4,4,3,4,4,4,5,4,5,4,5,4,4,5,5,0,,,,,,4,4,4,5,5,5,0,,,5,0,,,1,5,0,,,5,5,5,5,2,,,,,10,1,SAN FRANCISCO,SAN FRANCISCO COUNTY,CA,94160,US,5,0,3,2,0,1,1,1,1,0.670484223
