RESPNUM,CCGID,RUNID,INTDATE,DAY,GATE,BAREA,STRATA,PEAK,METH,SAQ,AIRLINE,DESTINATION,FLIGHT,AIRLINE_CODE,DEST_CODE,DESTGEO,DESTMARK,ARRTIME,DEPTIME,HOWLONG,Q2PURP1,Q2PURP2,Q2PURP3,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3PARK,Q4BAGS,Q4STORE,Q4FOOD,Q4WIFI,Q5TIMESFLOWN,Q5FIRSTTIME,Q6LONGUSE,Q7ART,Q7FOOD,Q7STORE,Q7SIGN,Q7WALKWAY,Q7SCREENS,Q7INFODOWN,Q7INFOUP,Q7WIFI,Q7ROADS,Q7PARK,Q7AIRTRAIN,Q7LTPARKING,Q7RENTAL,Q7ALL,Q8-1,Q8-2,Q8-3,Q8-4,Q8-5,Q8-6,Q9Boarding,Q9AirTrain,Q9Rental,Q9Food,Q9Restroom,Q9All,Q9-1,Q9-2,Q9-3,Q10Safe,Q10-1,Q10-2,Q10-3,Q11TSAPRE,Q12PRECHECKRATE,Q12-1,Q12-2,Q12-3,Q13COUNTY,Q13GETRATE,Q14FIND ,Q14PASSTHRU,Q15PROBLEM,Q15A,Q15-1,Q15-2,Q15-3,NETPRO  ,Q17LIVE,Q18CITY,Q18COUNTY,Q18STATE,Q18ZIP,Q18COUNTRY,HOME,Q19Clear,Q20Age,Q21Gender,Q22Income,Q23FLY,Q24SJC,Q24OAK,LANG,WEIGHT
974,1353,542,18,6,99,G,3,3,1,2,LUFTHANSA,MUNICH,459,24,39,6,4,0.75,0.871527778,175,1,,,9,,,,2,2,1,2,3,1,4,4,4,4,4,4,4,6,4,3,5,5,3,6,3,4,0,,,,,,4,4,4,5,3,4,0,,,4,0,,,1,6,0,,,7,3,4,3,2,,,,,7,3,DUSSELDORF,,,,GERMANY,15,2,5,1,0,2,1,0,1,0.360773304
2675,1214,99,11,6,68,E,1,1,1,2,UNITED,CHICAGO-O'HARE,639,30,12,3,4,0.284722222,0.354166667,100,1,,,5,,,,2,1,2,2,1,2,1,4,3,3,4,4,3,6,6,6,6,6,6,6,6,4,201,,,,,,5,6,6,6,4,4,0,,,5,0,,,1,4,0,,,5,3,4,3,2,,,,,7,3,CICERO,COOK COUNTY,IL,60804,US,11,2,3,1,4,2,2,2,1,1.486924802
347,2587,61,4,6,54,D,1,1,1,2,ALASKA,SAN DIEGO,1952,7,57,1,2,0.25,0.358333333,156,1,,,8,,,,1,1,1,2,6,1,3,4,4,3,3,3,3,2,3,1,3,3,3,3,3,3,73,801,,,,,5,3,3,3,4,4,0,,,4,2,,,2,,,,,5,3,4,3,2,,,,,7,3,OCEANSIDE,SAN DIEGO COUNTY,CA,92057,US,10,1,4,2,4,2,1,1,1,1.10633221
633,1523,517,15,3,50,D,3,2,1,2,ALASKA,"WASHINGTON,DC-DULLES",1090,7,72,2,2,0.8125,0.878472222,95,1,,,5,,,,2,2,1,2,3,1,2,6,4,3,3,6,3,6,6,3,2,6,4,6,6,3,71,73,,,,,4,6,6,4,4,4,0,,,4,16,,,2,,,,,1,3,3,3,2,,,,,7,1,OAKLAND,ALAMEDA COUNTY,CA,94606,US,1,2,3,2,2,2,2,1,1,1.10633221
613,2388,647,31,5,50,D,1,1,1,2,ALASKA,"WASHINGTON,DC-DULLES",1084,7,72,2,2,0.295138889,0.392361111,140,1,,,2,,,,1,1,1,1,1,1,4,6,3,3,4,3,3,3,3,5,4,6,6,6,6,4,0,,,,,,3,6,6,4,5,3,0,,,3,0,,,2,,,,,1,3,5,5,2,,,,,7,1,,,,,US,90,0,3,1,2,2,1,2,1,1.10633221
1580,326,23,2,4,42,C,2,1,1,2,DELTA,DETROIT,745,16,16,3,3,0.409722222,0.482638889,105,1,,,5,,,,2,2,1,2,3,1,2,2,3,3,4,3,5,6,6,3,6,6,6,6,6,4,16,,,,,,3,6,6,6,3,3,0,,,5,0,,,2,,,,,5,3,4,3,2,,,,,7,3,DETROIT,WAYNE COUNTY,MI,48202,US,11,2,3,1,3,3,2,1,1,1.178946078
3291,2713,88,9,4,24,B,1,1,1,2,SOUTHWEST,DENVER,2085,28,14,1,4,0.354166667,0.420138889,95,1,,,1,,,3,1,0,1,1,4,1,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,,,,,,4,4,4,4,4,4,0,,,5,0,,,2,,,,,5,3,4,3,2,,,,,7,1,SAN FRANCISCO,SAN FRANCISCO COUNTY,CA,94115,US,5,0,4,2,2,2,2,1,1,0.994274752
268,2528,184,18,6,101,G,2,3,1,2,AIR CANADA,TORONTO,750,3,70,4,4,0.583333333,0.704861111,175,1,,,5,,,,2,2,1,2,2,1,2,6,3,3,3,4,4,4,4,3,6,6,6,6,6,4,0,,,,,,4,6,6,6,3,4,0,,,5,0,,,2,,,,,5,3,4,4,2,,,,,7,3,TORONTO,,,,CANADA,13,2,3,1,2,2,2,2,1,0.346120232
446,2691,79,6,1,86,F,2,2,1,2,UNITED,HONOLULU,1509,30,24,1,2,0.604166667,0.690972222,125,1,,,2,,,,2,1,1,2,4,1,2,6,4,4,4,4,4,4,4,4,5,5,6,5,4,4,201,,,,,,4,6,4,5,4,4,0,,,1,0,,,2,,,,,1,3,4,3,2,,,,,7,1,,,,,US,90,2,4,1,0,1,1,2,1,1.486924802
805,2227,612,23,4,45,D,3,2,1,2,AMERICAN,LOS ANGELES,6027,8,34,1,4,0.75,0.861111111,160,1,,,9,,,,2,2,2,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,107,,,,,,4,4,4,4,4,4,0,,,5,0,,,2,,,,,5,3,3,3,2,,,,,7,3,NEW YORK,NEW YORK COUNTY,NY,10003,US,12,2,3,1,3,2,1,2,1,1.061139364
1664,1866,198,19,7,9,A,2,3,1,2,EMIRATES,DUBAI,226,17,17,7,4,0.604166667,0.697916667,135,1,,,2,,,,1,2,2,2,2,1,2,5,6,6,5,5,5,6,6,5,6,6,6,6,6,5,0,,,,,,5,6,6,6,5,5,0,,,5,0,,,2,,,,,2,3,5,4,2,,,,,7,1,CONCORD,CONTRA COSTA COUNTY,CA,94520,US,2,2,3,1,0,2,2,1,1,0.670484223
2025,1064,109,11,6,6,A,2,3,1,2,BRITISH AIRWAYS,LONDON HEATHROW,284,11,32,6,4,0.583333333,0.6875,150,1,,,5,,,,2,2,2,2,2,1,3,6,6,6,4,3,4,6,6,6,6,6,6,6,6,4,202,,,,,,5,6,6,6,6,5,0,,,5,0,,,2,,,,,1,3,4,2,2,,,,,7,3,LONDON,,,,UNITED KINGDOM,15,2,3,1,4,1,1,2,1,0.670484223
1691,1805,194,19,7,7,A,2,3,1,2,CATHAY PACIFIC,HONG KONG,879,12,23,8,4,0.4375,0.545138889,155,1,,,5,,,,1,2,2,1,1,1,2,3,6,6,4,4,3,4,4,2,6,6,6,6,3,3,11,151,6,,,,4,6,3,6,3,3,5,,,4,2,,,3,,,,,7,3,5,5,2,,,,,7,3,COLOMBO,,,,SRI LANKA,18,2,3,2,1,2,1,0,1,0.319164822
1860,526,2,1,3,60,E,1,1,1,2,UNITED,LOS ANGELES,2320,30,34,1,4,0.336805556,0.395833333,85,1,,,3,,,,0,0,1,0,3,1,3,3,2,3,3,3,4,3,3,3,6,6,6,6,6,3,0,,,,,,3,6,6,3,3,3,0,,,4,0,,,0,,,,,11,4,6,6,2,,,,,7,3,VANCOUVER,CLARK COUNTY,WA,98661,US,10,2,5,2,2,2,1,0,1,1.486924802
2809,656,618,24,5,44,C,3,2,1,2,DELTA,LOS ANGELES,2670,16,34,1,4,0.736111111,0.798611111,90,1,,,4,,,,1,2,1,2,1,2,1,3,1,1,5,3,4,4,4,6,3,6,6,6,6,3,0,,,,,,3,6,6,2,5,3,0,,,3,0,,,0,,,,,6,4,4,5,2,,,,,7,3,,,,,,99,2,3,1,4,2,2,2,1,1.178946078
423,2679,79,6,1,86,F,2,2,1,2,UNITED,HONOLULU,1509,30,24,1,2,0.618055556,0.690972222,105,1,,,5,,,,1,1,2,2,1,1,4,3,3,4,5,5,5,4,4,6,6,6,5,6,5,4,1,,,,,,4,4,4,4,3,4,0,,,4,0,,,0,,,,,5,4,5,2,2,,,,,7,3,SAIPAN,0,MP,96950,US,19,0,6,1,4,2,2,2,1,1.486924802
2276,235,903,2,4,65,E,2,2,1,2,UNITED,LOS ANGELES,750,30,34,1,4,0.552083333,0.628472222,110,1,,,2,,,,1,1,2,2,3,1,4,3,3,3,2,3,3,6,6,6,3,2,6,4,2,3,31,,,,,,4,6,6,4,4,4,0,,,4,0,,,1,4,1,,,6,4,4,5,2,,,,,7,1,REDWOOD CITY,SAN MATEO COUNTY,CA,94062,US,6,2,0,0,0,2,2,2,1,1.486924802
2747,772,535,16,4,4,A,3,3,1,2,AIR FRANCE/KLM,PARIS-DE GAULLE,85,5,47,6,4,0.75,0.854166667,150,1,,,5,,,,1,1,2,2,3,1,4,3,3,2,4,4,4,6,6,2,4,3,6,6,3,3,11,151,,,,,5,6,3,4,4,4,0,,,5,0,,,1,5,1,,,5,4,4,5,2,,,,,7,3,PARIS,,,,FRANCE,15,2,5,1,4,1,1,2,1,0.286357486
2155,132,50,3,5,3,A,2,3,1,2,CATHAY PACIFIC,HONG KONG,879,12,23,8,4,0.458333333,0.545138889,125,1,,,3,,,,1,1,2,2,3,1,3,3,4,3,4,4,4,3,3,3,6,6,6,6,6,4,151,,,,,,4,6,6,6,4,4,5,,,4,1,,,1,1,4,3,22,11,4,4,3,2,,,,,7,3,DALLAS,DALLAS COUNTY,TX,75214,US,11,2,5,2,0,2,2,2,1,0.319164822
199,2252,610,23,4,45,D,3,2,1,2,AMERICAN,LOS ANGELES,6026,8,34,1,4,0.708333333,0.798611111,130,1,,,5,,,,2,1,2,1,6,1,4,5,4,4,4,4,5,6,6,3,4,6,4,6,4,4,210,,,,,,5,4,3,4,4,5,0,,,5,0,,,1,2,4,,,6,4,5,1,2,,,,,7,3,PLAYA VISTA,LOS ANGELES COUNTY,CA,90094,US,10,2,3,2,3,3,1,2,1,1.061139364
561,2406,644,31,5,54,D,1,2,1,2,ALASKA,SEATTLE,313,7,62,1,4,0.194444444,0.302083333,155,1,,,7,,,,2,2,1,2,5,1,4,4,4,4,4,3,4,6,3,4,4,2,2,2,2,3,74,,,,,,4,4,4,5,4,4,0,,,4,4,9,,1,4,12,,,1,4,5,4,2,,,,,7,3,,,,,,99,2,6,1,0,1,1,1,1,1.10633221
2938,2175,185,18,6,97,G,3,3,1,2,TURKISH AIRLINES,ISTANBUL,80,29,27,7,4,0.666666667,0.760416667,135,1,,,5,,,,1,0,0,1,1,2,1,3,3,6,4,3,4,4,4,4,6,6,6,6,6,3,0,,,,,,4,6,6,6,2,3,0,,,3,0,,,1,3,0,,,1,4,4,4,2,,,,,7,1,,,,,US,90,0,3,1,2,2,1,0,1,0.670484223
3151,695,616,24,5,41,C,2,2,1,2,DELTA,SALT LAKE CITY,1241,16,55,1,2,0.6875,0.697916667,15,1,,,5,,,,2,2,1,2,5,1,1,3,2,3,3,3,4,3,3,3,4,6,6,6,6,3,0,,,,,,4,4,6,2,2,3,0,,,5,0,,,1,5,0,,,5,4,4,4,2,,,,,7,3,AMERICAN FORK,UTAH COUNTY,UT,84003,US,10,2,4,1,4,2,2,1,1,1.178946078
2017,1059,109,11,6,6,A,2,3,1,2,BRITISH AIRWAYS,LONDON HEATHROW,284,11,32,6,4,0.625,0.6875,90,1,,,1,,,2,1,0,0,1,3,1,4,5,3,3,4,3,3,3,3,3,3,4,6,6,6,4,0,,,,,,3,6,6,3,3,4,0,,,3,0,,,1,5,0,,,9,4,4,5,2,,,,,7,1,PETALUMA,SONOMA COUNTY,CA,94952,US,9,2,7,1,2,2,2,2,1,0.670484223
567,2409,644,31,5,54,D,1,2,1,2,ALASKA,SEATTLE,313,7,62,1,4,0.260416667,0.302083333,60,1,,,5,,,,2,1,2,2,6,1,1,6,3,3,3,3,4,4,4,4,3,6,3,6,3,3,0,,,,,,4,4,4,4,4,4,0,,,4,0,,,1,4,0,,,5,4,4,4,2,,,,,7,1,SAN FRANCISCO,SAN FRANCISCO COUNTY,CA,94109,US,5,2,4,1,0,1,1,1,1,1.10633221
607,2449,174,17,5,12,A,2,2,1,2,JETBLUE,BOSTON,534,22,8,2,3,0.479166667,0.570833333,132,1,,,9,,,,0,1,1,0,6,1,4,3,3,3,4,4,4,3,3,2,4,6,5,6,5,4,0,,,,,,4,4,5,3,3,4,0,,,5,0,,,1,5,0,,,5,4,4,4,2,,,,,7,3,GLOUCESTER,ESSEX COUNTY,MA,1930,US,12,2,6,1,4,1,2,2,1,0.670484223
1533,336,19,2,4,47,C,1,2,1,2,ALASKA,LOS ANGELES,1930,7,34,1,4,0.28125,0.326388889,65,1,,,5,,,,2,1,2,2,4,1,4,4,4,3,4,4,5,4,4,4,4,4,6,6,6,4,0,,,,,,4,6,6,4,5,4,0,,,5,0,,,1,4,0,,,4,4,5,5,2,,,,,7,1,NAPA,NAPA COUNTY,CA,94558,US,4,1,3,2,0,1,2,1,1,1.10633221
2932,1414,524,15,3,24,B,3,2,1,2,SOUTHWEST,SAN DIEGO,5698,28,57,1,2,0.791666667,0.864583333,105,1,,,8,,,,1,2,2,1,3,1,4,3,6,6,4,4,4,6,6,4,4,6,6,6,6,4,0,,,,,,4,6,6,6,4,4,0,,,4,0,,,1,3,0,,,5,4,4,4,2,,,,,7,3,SANTA BARBARA,SANTA BARBARA COUNTY,CA,93130,US,10,2,7,2,0,2,0,1,1,0.994274752
1889,288,32,2,4,97,G,2,3,1,2,SINGAPORE AIRLINES,SINGAPORE,31,27,65,8,4,0.395833333,0.479166667,120,1,,,1,,,0,1,2,2,1,1,1,1,2,2,3,3,4,3,4,4,5,5,5,5,5,5,4,0,,,,,,5,5,5,5,3,5,0,,,5,0,,,1,0,0,,,7,4,5,4,2,,,,,7,3,BARGALORE,,,,INDIA,16,0,4,1,0,2,3,3,1,0.670484223
2818,665,618,24,5,44,C,3,2,1,2,DELTA,LOS ANGELES,2670,16,34,1,4,0.375,0.798611111,610,1,,,9,,,,2,2,1,1,2,2,1,3,3,3,5,4,3,5,5,5,3,5,5,5,5,4,75,,,,,,5,5,2,5,5,5,0,,,5,0,,,1,5,0,,,5,4,4,4,2,,,,,7,3,HEREDIA,,,,COSTA RICA,14,2,4,1,1,2,1,0,1,1.178946078
2931,1413,524,15,3,24,B,3,2,1,2,SOUTHWEST,SAN DIEGO,5698,28,57,1,2,0.791666667,0.864583333,105,1,,,9,,,,2,2,1,1,5,1,3,3,3,4,4,0,3,4,3,3,2,2,3,2,4,4,0,,,,,,5,5,5,5,5,5,0,,,4,0,,,1,5,0,,,5,4,4,5,2,,,,,7,3,CORONADO,SAN DIEGO COUNTY,CA,92118,US,10,2,6,1,4,1,1,1,1,0.994274752
1974,591,623,29,3,64,E,1,1,1,2,UNITED,BALTIMORE,2063,30,6,2,2,0.333333333,0.399305556,95,1,,,5,,,,2,1,2,2,5,2,2,4,3,3,4,4,3,6,6,4,3,6,4,6,6,4,76,,,,,,5,4,6,3,4,4,0,,,5,1,,,2,,,,,5,4,4,5,2,,,,,7,1,SAN FRANCISCO,SAN FRANCISCO COUNTY,CA,94109,US,5,2,4,1,4,2,1,1,1,1.486924802
2013,1648,634,30,4,81,F,1,1,1,2,UNITED,NEWARK,414,30,43,2,4,0.291666667,0.375,120,1,,,7,,,,1,2,2,1,4,1,2,4,2,3,4,4,3,3,3,4,3,4,6,6,3,3,101,,,,,,4,6,4,4,4,4,0,,,5,1,8,,2,,,,,2,4,4,3,2,,,,,7,1,SAN PABLO,CONTRA COSTA COUNTY,CA,94806,US,2,2,4,1,3,1,2,1,1,1.486924802
3250,2300,602,22,3,74,F,3,2,1,2,UNITED,SAN DIEGO,1798,30,57,1,2,0.635416667,0.75,165,1,,,5,,,,2,2,1,2,1,1,3,5,3,3,4,4,3,6,6,2,2,6,6,6,0,4,11,,,,,,3,6,6,4,4,5,0,,,3,2,,,2,,,,,5,4,3,2,2,,,,,7,3,SAN DIEGO,SAN DIEGO COUNTY,CA,92109,US,10,2,2,2,1,2,2,2,1,1.486924802
202,2255,610,23,4,45,D,3,2,1,2,AMERICAN,LOS ANGELES,6026,8,34,1,4,0.739583333,0.798611111,85,1,,,5,,,,2,2,2,1,4,1,2,4,3,2,4,4,4,4,4,4,4,6,6,6,6,4,102,151,,,,,4,6,6,4,4,4,0,,,4,11,,,2,,,,,5,4,4,3,2,,,,,7,3,SAINT AUGUSTINE,ST. JOHNS COUNTY,FL,32092,US,12,2,4,2,4,1,1,1,1,1.061139364
2176,747,532,16,4,22,B,3,2,1,2,FRONTIER,DENVER,668,19,14,1,4,0.625,0.73125,153,1,,,2,,,,2,2,2,1,2,1,2,3,4,4,3,3,5,3,3,5,5,6,4,3,6,3,22,,,,,,4,3,6,3,2,3,0,,,5,15,,,2,,,,,30,4,4,4,2,,,,,7,2,MODESTO,STANISLAUS COUNTY,CA,95355,US,10,2,2,2,1,3,2,1,1,0.20803798
3273,2297,606,22,3,72,F,3,2,1,2,UNITED,LAS VEGAS,394,30,31,1,4,0.78125,0.881944444,145,1,,,6,,,,2,1,1,2,3,1,3,4,3,3,3,4,4,6,6,3,3,3,3,3,3,3,0,,,,,,4,4,4,4,4,4,0,,,5,16,,,2,,,,,1,4,4,2,2,,,,,7,1,EMERYVILLE,ALAMEDA COUNTY,CA,94608,US,1,2,3,1,0,2,2,1,1,1.486924802
3275,2299,606,22,3,72,F,3,2,1,2,UNITED,LAS VEGAS,394,30,31,1,4,0.822916667,0.881944444,85,1,,,5,,,,2,2,2,2,2,1,4,3,3,6,4,4,3,6,6,3,4,4,6,3,3,4,0,,,,,,3,6,3,3,3,3,0,,,3,0,,,2,,,,,2,4,4,4,2,,,,,7,1,,,,,US,90,0,3,2,0,2,0,1,1,1.486924802
1115,1293,92,10,5,42,C,1,2,1,2,DELTA,MINNEAPOLIS-ST. PAUL,1581,16,38,3,4,0.239583333,0.322916667,120,1,,,8,,,,1,1,1,2,3,1,2,3,3,3,3,3,3,4,4,4,2,6,6,6,1,3,0,,,,,,3,3,3,4,4,4,0,,,3,0,,,2,,,,,6,4,3,3,2,,,,,7,3,MONTICELLO,WRIGHT COUNTY,MN,55362,US,11,2,4,1,4,1,2,2,1,1.178946078
2915,677,617,24,5,41,C,3,2,1,2,DELTA,SEATTLE,5821,16,62,1,4,0.649305556,0.75,145,1,,,5,,,,0,0,1,1,5,1,3,6,3,3,3,3,4,3,3,4,2,6,4,6,3,3,104,14,,,,,4,4,4,4,4,4,0,,,5,0,,,2,,,,,5,4,5,5,2,,,,,7,3,KIRKLAND,KING COUNTY,WA,98034,US,10,1,5,1,4,2,1,1,1,1.178946078
1099,1286,92,10,5,42,C,1,2,1,2,DELTA,MINNEAPOLIS-ST. PAUL,1581,16,38,3,4,0.21875,0.322916667,150,1,,,5,,,,2,1,1,2,1,1,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,4,0,,,,,,5,6,6,5,5,5,0,,,4,0,,,2,,,,,5,4,4,2,2,,,,,7,3,MILLINGTON,TUSCOLA COUNTY,MI,48746,US,11,2,4,2,0,2,2,2,1,1.178946078
1710,1989,206,20,1,6,A,3,3,1,2,AIR FRANCE/KLM,PARIS-DE GAULLE,85,5,47,6,4,N,0.854166667,N,1,,,6,,,,0,1,1,1,1,2,1,6,3,2,5,5,4,4,4,2,6,6,4,6,6,3,204,,,,,,4,6,6,3,6,3,0,,,4,0,,,3,,,,,5,4,4,4,2,,,,,7,3,RENNES,,,,FRANCE,15,2,5,2,0,2,2,2,1,0.286357486
263,2523,184,18,6,101,G,2,3,1,2,AIR CANADA,TORONTO,750,3,70,4,4,0.583333333,0.704861111,175,1,,,3,,,,0,0,1,0,2,1,3,6,2,3,4,5,5,3,3,0,6,6,5,6,6,3,102,35,,,,,5,5,5,5,5,5,0,,,5,0,,,1,5,1,,,11,5,5,5,2,,,,,7,3,TORONTO,,,,CANADA,13,2,4,1,4,2,2,2,1,0.346120232
3184,2056,167,17,5,57,D,1,2,1,2,AMERICAN,DALLAS-FT. WORTH,1454,8,13,3,4,0.166666667,0.25,120,1,,,9,,,,2,2,1,2,1,2,1,6,6,2,4,4,4,6,6,6,4,6,1,2,3,3,103,23,,,,,5,5,5,5,5,5,0,,,4,0,,,1,5,2,,,1,5,5,5,2,,,,,7,3,SPANISH FORT,BALDWIN COUNTY,AL,36527,US,11,2,3,2,3,1,2,1,1,1.061139364
2053,1224,98,11,6,85,F,1,2,1,2,UNITED,NEWARK,577,30,43,2,4,0.25,0.3125,90,1,,,2,,,,2,1,2,2,3,1,2,3,2,4,3,3,3,3,3,3,3,3,4,3,3,3,0,,,,,,3,5,3,3,3,3,0,,,4,21,,,1,4,4,,,6,5,4,4,2,,,,,7,1,SAN MATEO,SAN MATEO COUNTY,CA,94402,US,6,0,3,1,4,3,1,2,1,1.486924802
2871,1642,635,30,4,73,F,1,1,1,2,UNITED,"WASHINGTON,DC-DULLES",516,30,72,2,2,0.3125,0.407638889,137,1,,,9,,,,2,1,1,2,3,1,4,4,2,5,5,5,5,6,6,3,5,6,3,6,5,4,23,106,,,,,5,4,5,3,3,4,0,,,4,0,,,1,5,4,,,4,5,5,5,2,,,,,7,3,WASHINGTON,DISTRICT OF COLUMBIA,DC,20010,US,12,2,4,2,4,1,2,2,1,1.486924802
2672,1169,118,12,7,11,A,2,1,1,2,JETBLUE,BOSTON,334,22,8,2,3,0.416666667,0.4875,102,1,,,4,,,,2,0,1,0,1,1,4,4,4,4,4,4,4,4,4,6,6,6,6,6,1,3,3,,,,,,4,6,6,3,3,4,0,,,5,9,,,1,5,8,,,4,5,5,5,2,,,,,7,3,STRATHAM,ROCKINGHAM COUNTY,NH,3885,US,12,2,6,1,0,1,2,1,1,0.670484223
2975,2195,614,23,4,58,D,3,2,1,2,AMERICAN,CHARLOTTE,1799,8,11,2,4,0.805555556,0.927083333,175,1,,,5,,,,2,2,1,1,3,1,4,5,3,3,4,2,4,4,4,5,4,6,4,6,4,3,101,802,,,,,4,4,4,4,4,4,1,,,5,3,1,,1,3,19,,,5,5,5,4,2,,,,,7,3,SIMPSONVILLE,GREENVILLE COUNTY,SC,29681,US,12,2,6,1,4,1,2,1,1,1.061139364
2949,2181,86,9,4,23,B,1,1,1,2,SOUTHWEST,LOS ANGELES,1237,28,34,1,4,0.277777778,0.336805556,85,1,,,5,,,,2,1,2,2,2,1,2,3,4,3,4,4,4,6,6,6,4,6,4,6,6,4,0,,,,,,5,5,6,5,5,5,0,,,4,2,,,1,4,21,,,6,5,5,5,2,,,,,7,3,SHERMAN OAKS,LOS ANGELES COUNTY,CA,91423,US,10,2,3,2,2,2,1,2,1,0.994274752
1727,1962,556,21,2,101,G,3,3,1,2,AIR CANADA,TORONTO,754,3,70,4,4,0.868055556,0.9375,100,1,,,5,,,,1,1,0,1,4,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,206,9,802,14,,,2,6,6,3,3,2,13,4,,3,16,,,1,5,21,1,,2,5,3,5,2,,,,,7,1,WALNUT CREEK,CONTRA COSTA COUNTY,CA,94597,US,2,1,4,2,4,1,1,1,1,0.346120232
1015,1333,541,18,6,98,G,3,3,1,2,AIR CANADA,VANCOUVER,571,3,71,4,2,0.752083333,0.836805556,122,1,,,2,,,,2,2,2,2,3,1,4,6,6,6,4,4,6,6,3,6,4,6,6,3,6,3,0,,,,,,4,6,6,6,2,3,0,,,4,0,,,1,4,0,,,6,5,5,3,2,,,,,7,1,PALO ALTO,SAN MATEO COUNTY,CA,94303,US,6,2,7,1,3,2,1,1,1,0.346120232
2481,949,905,11,6,67,E,2,2,1,2,UNITED,CHICAGO-O'HARE,268,30,12,3,4,0.534722222,0.596527778,89,1,,,5,,,,2,2,2,1,4,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,,,,,,3,3,3,3,3,3,0,,,4,0,,,1,5,0,,,6,5,4,4,2,,,,,7,1,MENLO PARK,SAN MATEO COUNTY,CA,94025,US,6,2,5,1,4,1,1,2,1,1.486924802
1080,1323,540,18,6,94,G,3,3,1,2,AIR CANADA,CALGARY,8590,3,10,4,2,0.645833333,0.788194444,205,1,,,4,,,,2,2,1,1,5,1,3,4,4,4,4,4,4,4,4,4,6,6,6,6,6,4,5,803,,,,,5,5,5,5,5,5,0,,,5,0,,,1,5,0,,,5,5,5,5,2,,,,,7,3,VANCOUVER,,,,CANADA,13,2,5,1,4,1,2,1,1,0.346120232
1535,638,620,24,5,40,C,3,2,1,2,DELTA,NEW YORK-JFK,1155,16,42,2,4,0.694444444,0.885416667,275,1,,,5,,,,0,0,2,2,2,1,4,4,3,3,5,4,5,6,6,5,6,6,6,6,6,4,0,,,,,,5,6,6,5,5,5,0,,,5,0,,,1,5,0,,,5,5,5,5,2,,,,,7,3,DORCHESTER,SUFFOLK COUNTY,MA,2121,US,12,2,6,1,4,1,1,2,1,1.178946078
2953,1425,524,15,3,24,B,3,2,1,2,SOUTHWEST,SAN DIEGO,5698,28,57,1,2,0.822916667,0.864583333,60,1,,,9,,,,2,2,2,1,3,1,3,4,2,6,3,4,5,6,6,5,4,6,1,6,5,4,23,63,,,,,5,5,5,5,5,5,0,,,5,0,,,1,5,0,,,24,5,4,5,2,,,,,7,3,,,,,,99,0,0,0,0,0,0,0,1,0.994274752
431,2654,74,6,1,64,E,2,1,1,2,UNITED,INDIANAPOLIS,317,30,26,3,2,0.340277778,0.495138889,223,1,,,3,,,,0,1,1,1,4,1,4,4,4,4,5,3,4,4,4,5,6,6,6,6,6,4,5,,,,,,4,6,6,4,4,4,0,,,5,16,,,2,,,,,11,5,5,6,2,,,,,7,3,SANTA BARBARA,SANTA BARBARA COUNTY,CA,93101,US,10,2,4,1,2,2,2,2,1,1.486924802
2355,247,904,2,4,72,F,2,2,1,2,UNITED,AUSTIN,1889,30,4,3,2,0.572916667,0.697916667,180,1,,,4,,,,1,2,2,1,1,1,4,4,3,3,5,5,5,6,6,5,4,6,6,6,6,4,0,,,,,,5,6,6,4,3,4,0,,,4,22,,,2,,,,,5,5,5,5,2,,,,,7,3,AUSTIN,TRAVIS COUNTY,TX,78759,US,11,2,4,2,3,2,1,0,1,1.486924802
1827,1703,553,21,2,97,G,3,3,1,2,UNITED INTL,LONDON HEATHROW,930,31,32,6,4,0.666666667,0.815972222,215,1,,,5,,,,1,2,2,1,4,1,3,0,3,3,3,3,3,0,0,5,1,4,6,6,6,4,0,,,,,,3,3,3,3,3,3,0,,,5,0,,,2,,,,,5,5,5,5,2,,,,,7,1,SAN FRANCISCO,SAN FRANCISCO COUNTY,CA,94103,US,5,2,3,2,2,2,1,0,1,1.486924802
2634,1008,156,15,3,11,A,1,2,1,2,JETBLUE,NEW YORK-JFK,16,22,42,2,4,0.25,0.291666667,60,1,,,1,,,4,3,3,3,1,6,1,4,4,3,3,4,4,3,3,3,3,3,2,3,3,3,3,14,15,,,,,4,3,3,3,3,4,0,,,4,0,,,2,,,,,7,5,5,2,2,,,,,7,1,SAN JOSE,SANTA CLARA COUNTY,CA,95124,US,7,2,5,1,4,1,1,1,1,0.670484223
1895,1945,554,21,2,99,G,3,3,1,2,LUFTHANSA,MUNICH,459,24,39,6,4,0.75,0.871527778,175,1,,,6,,,,1,2,2,1,1,2,1,6,6,6,5,5,4,5,5,5,6,6,5,6,6,4,0,,,,,,5,5,6,6,4,4,0,,,5,0,,,2,,,,,5,5,5,5,2,,,,,7,3,TURIN,,,,ITALY,15,2,3,1,2,2,2,2,1,0.360773304
